client_id,credit_limit_initial,credit_limit,add_product,mp_first_login,mp_last_login,tp_num,cl_age,education_id,gender_id,marital_status_id,employment_status_cd,city_population_category,app_channel
360346,15000.00,60000.00,Халва,2018-04-18 00:00:00.000,2019-03-05 00:00:00.000,NULL,43,3,1,1,EME,300 – 700 тыс,Call Center
363124,20000.00,20000.00,Халва,2018-03-31 00:00:00.000,2019-02-21 00:00:00.000,NULL,52,3,1,2,EME,100 – 300 тыс,Call Center
377998,20000.00,20000.00,Халва,2018-04-27 00:00:00.000,2019-03-07 00:00:00.000,NULL,32,3,2,2,EME,0 – 100 тыс,Internet Sales
454484,30000.00,30000.00,Халва,2018-05-31 00:00:00.000,2018-05-31 00:00:00.000,NULL,60,2,1,4,PNS,0 – 100 тыс,Walk In Sales
455247,15000.00,15000.00,Халва,2018-04-09 00:00:00.000,2019-03-04 00:00:00.000,NULL,53,3,1,3,EME,0 – 100 тыс,Walk In Sales
463111,15000.00,15000.00,Халва,2018-04-10 00:00:00.000,2019-02-28 00:00:00.000,NULL,47,4,1,3,EME,300 – 700 тыс,Internet Sales
470409,15000.00,15000.00,Халва,2018-04-02 00:00:00.000,2019-03-04 00:00:00.000,NULL,35,3,2,2,EME,0 – 100 тыс,Walk In Sales
492968,15000.00,15000.00,Халва,2018-05-30 00:00:00.000,2018-05-30 00:00:00.000,NULL,61,2,1,1,PNS,300 – 700 тыс,Walk In Sales
526221,15000.00,15000.00,Халва + Вклад,NULL,NULL,NULL,58,3,1,2,PNS,0 – 100 тыс,Walk In Sales
544269,15000.00,15000.00,Халва + ДК,NULL,NULL,NULL,56,3,2,5,PNS,300 – 700 тыс,УРМ
545861,60000.00,60000.00,Халва,2018-04-01 00:00:00.000,2019-03-11 00:00:00.000,NULL,35,3,2,2,EME,100 – 300 тыс,Internet Sales
560526,45000.00,45000.00,Халва,2018-05-28 00:00:00.000,2019-03-11 00:00:00.000,1,43,3,2,2,EME,0 – 100 тыс,Internet Sales
583629,15000.00,15000.00,Халва + ДК,NULL,NULL,NULL,60,2,2,3,PNW,0 – 100 тыс,Walk In Sales
647205,45000.00,45000.00,Халва,2018-05-21 00:00:00.000,2018-12-11 00:00:00.000,NULL,44,6,1,5,EME,300 – 700 тыс,Internet Sales
654905,15000.00,15000.00,Халва,2018-04-04 00:00:00.000,2019-03-06 00:00:00.000,NULL,46,-1,2,2,UNK,300 – 700 тыс,Call Center
763143,15000.00,15000.00,Халва,2018-04-20 00:00:00.000,2019-03-12 00:00:00.000,1,61,3,2,2,PNW,0 – 100 тыс,Call Center
782679,15000.00,15000.00,Халва,2018-04-15 00:00:00.000,2018-04-15 00:00:00.000,NULL,61,3,1,4,PNS,300 – 700 тыс,Internet Sales
861925,15000.00,90000.00,Халва,2018-03-31 00:00:00.000,2019-03-11 00:00:00.000,NULL,42,-1,2,2,UNK,300 – 700 тыс,DSA
865030,90000.00,90000.00,Халва,2018-04-18 00:00:00.000,2019-03-08 00:00:00.000,NULL,40,6,2,2,EME,0 – 100 тыс,Walk In Sales
865574,45000.00,45000.00,Халва,2018-05-31 00:00:00.000,2019-03-11 00:00:00.000,NULL,40,6,2,2,EME,300 – 700 тыс,Internet Sales
866691,30000.00,30000.00,Халва,2018-04-21 00:00:00.000,2019-03-11 00:00:00.000,NULL,45,-1,2,-1,UNK,0 – 100 тыс,Walk In Sales
886977,15000.00,15000.00,Халва + ДК,2018-05-14 00:00:00.000,2019-03-04 00:00:00.000,NULL,45,3,1,5,EME,0 – 100 тыс,Walk In Sales
959681,15000.00,15000.00,Халва,2018-11-30 00:00:00.000,2018-11-30 00:00:00.000,NULL,69,6,2,2,PNW,100 – 300 тыс,Walk In Sales
982767,20000.00,20000.00,Халва,NULL,NULL,NULL,64,3,1,4,PNS,0 – 100 тыс,Walk In Sales
1002699,15000.00,15000.00,Халва,2018-05-07 00:00:00.000,2019-03-09 00:00:00.000,NULL,45,3,1,1,EME,100 – 300 тыс,Internet Sales
1097600,15000.00,60000.00,Халва,2018-04-28 00:00:00.000,2019-03-11 00:00:00.000,NULL,32,2,1,2,EME,0 – 100 тыс,Internet Sales
1098229,50000.00,50000.00,Халва,2018-04-05 00:00:00.000,2019-03-11 00:00:00.000,NULL,41,-1,1,1,UNK,100 – 300 тыс,DSA
1338132,20000.00,20000.00,Халва,NULL,NULL,NULL,63,2,1,3,PNW,0 – 100 тыс,Walk In Sales
6055,15000.00,15000.00,Халва + ДК,NULL,NULL,NULL,66,2,2,5,PNS,0 – 100 тыс,Walk In Sales
49511,15000.00,15000.00,Халва,2018-04-23 00:00:00.000,2018-12-06 00:00:00.000,NULL,59,3,1,4,PNW,0 – 100 тыс,Walk In Sales
62109,45000.00,45000.00,Халва,2019-01-29 00:00:00.000,2019-01-29 00:00:00.000,NULL,37,6,2,2,EME,100 – 300 тыс,Call Center
64902,15000.00,15000.00,Халва + Вклад,2018-04-15 00:00:00.000,2019-03-12 00:00:00.000,NULL,36,6,2,2,EME,0 – 100 тыс,Walk In Sales
101700,30000.00,30000.00,Халва,2018-05-11 00:00:00.000,2019-02-25 00:00:00.000,NULL,59,4,2,5,EME,100 – 300 тыс,Representative
105797,30000.00,30000.00,Халва,2018-03-30 00:00:00.000,2018-05-25 00:00:00.000,NULL,45,3,1,2,EME,300 – 700 тыс,Walk In Sales
107523,15000.00,15000.00,Халва,NULL,NULL,NULL,58,3,1,2,PNS,0 – 100 тыс,Walk In Sales
131636,75000.00,75000.00,Халва,2018-03-31 00:00:00.000,2019-03-02 00:00:00.000,NULL,36,-1,2,2,EME,0 – 100 тыс,Internet Sales
144193,15000.00,60000.00,Халва,2018-04-04 00:00:00.000,2019-03-11 00:00:00.000,NULL,43,6,1,2,EME,300 – 700 тыс,Internet Sales
162634,30000.00,30000.00,Халва + ДКПЗА,NULL,NULL,NULL,58,2,2,2,PNW,300 – 700 тыс,Walk In Sales
229074,20000.00,20000.00,Халва,2018-05-03 00:00:00.000,2019-02-15 00:00:00.000,NULL,58,3,1,2,PNS,0 – 100 тыс,Call Center
231001,50000.00,50000.00,Халва,NULL,NULL,2,69,-1,1,-1,UNK,0 – 100 тыс,Walk In Sales
318192,40000.00,40000.00,Халва,2018-04-01 00:00:00.000,2019-03-04 00:00:00.000,NULL,41,3,1,2,EME,100 – 300 тыс,DSA
340301,75000.00,75000.00,Халва,2018-04-23 00:00:00.000,2019-03-12 00:00:00.000,NULL,59,-1,1,1,OTH,100 – 300 тыс,DSA
345784,15000.00,15000.00,Халва + ДК,2018-12-30 00:00:00.000,2018-12-30 00:00:00.000,NULL,68,2,1,3,PNW,0 – 100 тыс,УРМ
355809,30000.00,30000.00,Халва,2018-04-13 00:00:00.000,2019-02-26 00:00:00.000,NULL,47,3,1,2,EME,0 – 100 тыс,Representative
412684,45000.00,45000.00,Халва + Вклад,2018-06-12 00:00:00.000,2019-03-11 00:00:00.000,NULL,45,3,1,2,EME,100 – 300 тыс,Walk In Sales
469966,30000.00,30000.00,Халва,2018-04-03 00:00:00.000,2019-03-05 00:00:00.000,NULL,46,2,2,3,EME,0 – 100 тыс,Call Center
554324,15000.00,15000.00,Халва,2018-04-01 00:00:00.000,2019-03-08 00:00:00.000,NULL,58,3,2,5,PNW,0 – 100 тыс,Walk In Sales
592072,75000.00,75000.00,Халва,2018-04-16 00:00:00.000,2019-02-20 00:00:00.000,NULL,33,-1,2,1,UNK,100 – 300 тыс,УРМ
602206,15000.00,15000.00,Халва,2018-04-03 00:00:00.000,2019-03-12 00:00:00.000,NULL,37,2,2,2,EME,0 – 100 тыс,Walk In Sales
610676,15000.00,60000.00,Халва + ДК,NULL,NULL,NULL,63,-1,1,2,PNW,100 – 300 тыс,Walk In Sales
626715,15000.00,60000.00,Халва,2018-07-26 00:00:00.000,2018-07-26 00:00:00.000,NULL,36,3,2,2,EME,300 – 700 тыс,Internet Sales
664114,60000.00,60000.00,Халва,2018-04-06 00:00:00.000,2019-03-04 00:00:00.000,1,47,-1,2,-1,UNK,300 – 700 тыс,Internet Sales
732856,20000.00,20000.00,Халва,2018-04-12 00:00:00.000,2018-04-12 00:00:00.000,NULL,62,3,1,5,PNS,0 – 100 тыс,Walk In Sales
733044,15000.00,60000.00,Халва,NULL,NULL,1,67,2,1,4,PNS,>700 тыс,Walk In Sales
742840,15000.00,15000.00,Халва,2018-04-05 00:00:00.000,2018-10-30 00:00:00.000,NULL,58,3,1,2,PNS,0 – 100 тыс,Walk In Sales
782885,20000.00,20000.00,Халва,2018-04-23 00:00:00.000,2019-03-06 00:00:00.000,NULL,59,6,1,2,PNS,0 – 100 тыс,Internet Sales
790826,30000.00,30000.00,Халва,2018-03-30 00:00:00.000,2019-03-12 00:00:00.000,NULL,37,2,2,2,EME,0 – 100 тыс,Representative
819119,20000.00,20000.00,Халва,NULL,NULL,NULL,58,3,2,2,PNS,0 – 100 тыс,Internet Sales
848743,15000.00,15000.00,Халва + ДК,2018-03-31 00:00:00.000,2019-02-22 00:00:00.000,NULL,69,3,2,4,PNS,100 – 300 тыс,Walk In Sales
860007,120000.00,120000.00,Халва,2018-05-17 00:00:00.000,2019-03-12 00:00:00.000,1,59,6,2,2,EME,>700 тыс,Internet Sales
906205,15000.00,15000.00,Халва + ДК,NULL,NULL,NULL,63,3,1,3,PNS,100 – 300 тыс,Walk In Sales
942372,60000.00,60000.00,Халва,2018-04-21 00:00:00.000,2019-03-10 00:00:00.000,NULL,40,6,2,2,EME,100 – 300 тыс,Walk In Sales
958208,15000.00,15000.00,Халва,2018-03-31 00:00:00.000,2019-02-14 00:00:00.000,NULL,46,3,2,2,EME,100 – 300 тыс,Internet Sales
973791,45000.00,45000.00,Халва,2018-04-05 00:00:00.000,2019-03-10 00:00:00.000,NULL,41,3,2,2,EME,0 – 100 тыс,Walk In Sales
992309,15000.00,15000.00,Халва,2018-05-25 00:00:00.000,2018-05-25 00:00:00.000,NULL,39,6,1,1,EME,100 – 300 тыс,Walk In Sales
1008837,15000.00,15000.00,Халва + ДК,2018-04-02 00:00:00.000,2019-03-10 00:00:00.000,2,52,3,1,2,EME,0 – 100 тыс,Walk In Sales
1035958,45000.00,45000.00,Халва,2018-05-11 00:00:00.000,2019-03-11 00:00:00.000,NULL,38,2,1,1,EME,100 – 300 тыс,DSA
1056885,15000.00,15000.00,Халва + ДК,NULL,NULL,NULL,59,3,1,4,PNS,0 – 100 тыс,Walk In Sales
1066386,15000.00,15000.00,Халва + Автокредит,2018-04-23 00:00:00.000,2019-03-08 00:00:00.000,NULL,33,3,2,2,BUS,0 – 100 тыс,AutoCred
1067629,30000.00,30000.00,Халва,2018-10-11 00:00:00.000,2019-01-24 00:00:00.000,NULL,57,3,2,2,EME,0 – 100 тыс,Internet Sales
1092762,30000.00,75000.00,Халва,2018-05-08 00:00:00.000,2019-03-12 00:00:00.000,NULL,40,6,1,4,EME,100 – 300 тыс,Walk In Sales
1116765,30000.00,30000.00,Халва,2018-04-03 00:00:00.000,2019-03-07 00:00:00.000,NULL,40,3,1,4,EME,0 – 100 тыс,Walk In Sales
1121455,15000.00,15000.00,Халва,2018-03-30 00:00:00.000,2018-09-28 00:00:00.000,NULL,57,3,1,2,PNW,300 – 700 тыс,Internet Sales
1256808,20000.00,20000.00,Халва,2018-04-20 00:00:00.000,2018-04-20 00:00:00.000,NULL,71,3,1,2,PNS,100 – 300 тыс,Walk In Sales
1301538,15000.00,15000.00,Халва,NULL,NULL,NULL,63,2,1,4,PNS,0 – 100 тыс,Walk In Sales
1304010,15000.00,15000.00,Халва,NULL,NULL,NULL,68,3,1,4,PNW,0 – 100 тыс,Walk In Sales
1313489,15000.00,30000.00,Халва + ДК,2018-04-09 00:00:00.000,2018-04-09 00:00:00.000,NULL,58,3,1,3,PNW,0 – 100 тыс,Call Center
1402400,300000.00,75000.00,Халва,2018-03-30 00:00:00.000,2019-02-12 00:00:00.000,NULL,56,-1,1,2,OTH,0 – 100 тыс,Internet Sales
1428715,60000.00,60000.00,Халва,2018-04-01 00:00:00.000,2019-03-09 00:00:00.000,NULL,38,6,2,2,EME,100 – 300 тыс,Internet Sales
1525484,15000.00,15000.00,Халва,2018-04-18 00:00:00.000,2019-02-27 00:00:00.000,NULL,50,2,1,2,EME,0 – 100 тыс,Representative
1476139,40000.00,40000.00,Халва,2018-05-14 00:00:00.000,2019-03-08 00:00:00.000,NULL,47,-1,1,1,OTH,100 – 300 тыс,DSA
1498652,20000.00,20000.00,Халва + ДК,2018-06-14 00:00:00.000,2019-03-03 00:00:00.000,NULL,62,3,1,2,PNW,100 – 300 тыс,Internet Sales
1533857,30000.00,30000.00,Халва,2018-04-11 00:00:00.000,2019-03-05 00:00:00.000,NULL,32,6,1,2,EME,0 – 100 тыс,Call Center
1617278,15000.00,15000.00,Халва,2018-04-27 00:00:00.000,2019-03-11 00:00:00.000,NULL,40,3,2,2,EME,0 – 100 тыс,Walk In Sales
1646958,45000.00,45000.00,Халва,2018-05-23 00:00:00.000,2019-03-11 00:00:00.000,NULL,46,6,1,2,EME,>700 тыс,Internet Sales
1649325,75000.00,75000.00,Халва,2018-05-30 00:00:00.000,2019-03-11 00:00:00.000,NULL,55,6,1,2,PNW,0 – 100 тыс,DSA
1652902,20000.00,20000.00,Халва,2018-04-04 00:00:00.000,2019-02-21 00:00:00.000,NULL,60,6,1,4,PNS,>700 тыс,Internet Sales
1736638,15000.00,15000.00,Халва,2018-04-11 00:00:00.000,2019-03-12 00:00:00.000,NULL,64,6,2,2,PNW,>700 тыс,Internet Sales
1789953,15000.00,15000.00,Халва,2018-04-12 00:00:00.000,2019-03-11 00:00:00.000,NULL,51,2,2,5,EME,100 – 300 тыс,Walk In Sales
1840364,15000.00,15000.00,Халва + ДК,NULL,NULL,NULL,40,2,2,1,EME,0 – 100 тыс,Walk In Sales
1854704,15000.00,15000.00,Халва,NULL,NULL,NULL,46,3,2,2,BUS,300 – 700 тыс,Internet Sales
1864032,20000.00,40000.00,Халва,2018-03-31 00:00:00.000,2019-03-09 00:00:00.000,NULL,44,3,2,2,EME,>700 тыс,Call Center
1922263,15000.00,60000.00,Халва + ТК,2018-05-08 00:00:00.000,2019-03-12 00:00:00.000,NULL,43,2,1,4,PNS,0 – 100 тыс,Walk In Sales
1928403,30000.00,30000.00,Халва + ДК,2018-06-21 00:00:00.000,2019-02-20 00:00:00.000,NULL,47,2,1,2,EME,0 – 100 тыс,Walk In Sales
1963633,15000.00,15000.00,Халва,NULL,NULL,NULL,68,3,1,2,PNW,0 – 100 тыс,Walk In Sales
1965206,45000.00,75000.00,Халва,2018-04-18 00:00:00.000,2019-03-04 00:00:00.000,NULL,38,6,1,2,EME,300 – 700 тыс,Internet Sales
1984394,30000.00,30000.00,Халва,NULL,NULL,NULL,57,3,1,3,PNW,0 – 100 тыс,Walk In Sales
2036050,15000.00,60000.00,Халва + Вклад,2018-05-22 00:00:00.000,2019-03-11 00:00:00.000,NULL,47,3,1,1,EME,100 – 300 тыс,Walk In Sales
2062425,20000.00,20000.00,Халва,2018-06-19 00:00:00.000,2019-03-10 00:00:00.000,NULL,45,6,1,3,EME,0 – 100 тыс,Walk In Sales
2065844,20000.00,20000.00,Халва,2018-08-04 00:00:00.000,2019-01-16 00:00:00.000,NULL,33,3,1,3,EME,0 – 100 тыс,Walk In Sales
2121158,15000.00,30000.00,Халва,2018-05-27 00:00:00.000,2019-03-12 00:00:00.000,NULL,39,6,1,5,EME,100 – 300 тыс,Internet Sales
2186101,30000.00,60000.00,Халва,2018-05-05 00:00:00.000,2019-03-06 00:00:00.000,1,55,3,1,2,PNS,0 – 100 тыс,Walk In Sales
2197089,15000.00,30000.00,Халва,2018-05-08 00:00:00.000,2019-03-09 00:00:00.000,NULL,42,-1,1,3,OTH,0 – 100 тыс,Internet Sales
2216641,15000.00,15000.00,Халва,2018-10-05 00:00:00.000,2019-02-04 00:00:00.000,NULL,67,3,1,4,PNS,0 – 100 тыс,Walk In Sales
2222306,15000.00,60000.00,Халва,NULL,NULL,1,38,3,1,2,EME,0 – 100 тыс,Call Center
2239330,20000.00,20000.00,Халва + ДК,2019-03-11 00:00:00.000,2019-03-11 00:00:00.000,NULL,49,3,1,2,EME,0 – 100 тыс,Walk In Sales
2259412,30000.00,30000.00,Халва,2018-05-01 00:00:00.000,2019-03-12 00:00:00.000,NULL,39,2,1,1,EME,0 – 100 тыс,Internet Sales
2263961,75000.00,75000.00,Халва,2018-05-27 00:00:00.000,2019-03-11 00:00:00.000,NULL,30,-1,1,2,OTH,0 – 100 тыс,УРМ
2276084,15000.00,15000.00,Халва,2018-05-25 00:00:00.000,2018-12-26 00:00:00.000,NULL,52,3,2,2,EME,100 – 300 тыс,Internet Sales
2304928,15000.00,15000.00,Халва,NULL,NULL,NULL,58,3,1,2,PNS,0 – 100 тыс,Walk In Sales
2311055,75000.00,75000.00,Халва,2018-03-31 00:00:00.000,2019-03-06 00:00:00.000,NULL,46,-1,1,-1,UNK,300 – 700 тыс,Representative
2316833,15000.00,15000.00,Халва + ДК,NULL,NULL,1,70,3,2,2,PNS,0 – 100 тыс,Walk In Sales
2333611,45000.00,45000.00,Халва + Вклад,2018-11-16 00:00:00.000,2019-03-12 00:00:00.000,NULL,50,3,2,2,PNS,300 – 700 тыс,Walk In Sales
2369977,15000.00,15000.00,Халва,2018-05-11 00:00:00.000,2019-03-11 00:00:00.000,NULL,58,3,1,3,PNS,100 – 300 тыс,Walk In Sales
2381128,75000.00,75000.00,Халва,2018-11-26 00:00:00.000,2018-11-26 00:00:00.000,NULL,41,6,1,2,EME,300 – 700 тыс,Internet Sales
2398215,15000.00,15000.00,Халва,2018-03-31 00:00:00.000,2018-10-11 00:00:00.000,NULL,64,3,2,2,PNS,0 – 100 тыс,Walk In Sales
2404091,30000.00,30000.00,Халва,2018-05-22 00:00:00.000,2019-03-08 00:00:00.000,NULL,43,-1,1,-1,UNK,0 – 100 тыс,Walk In Sales
2465151,50000.00,75000.00,Халва,2018-03-30 00:00:00.000,2019-03-10 00:00:00.000,2,47,-1,1,3,OTH,300 – 700 тыс,Internet Sales
2467868,15000.00,15000.00,Халва,2018-04-26 00:00:00.000,2018-04-26 00:00:00.000,NULL,34,3,2,2,EME,0 – 100 тыс,Walk In Sales
2546182,40000.00,40000.00,Халва,2018-04-26 00:00:00.000,2019-03-12 00:00:00.000,NULL,42,-1,1,2,EME,0 – 100 тыс,Internet Sales
2559600,30000.00,30000.00,Халва,2018-05-26 00:00:00.000,2019-03-12 00:00:00.000,NULL,30,3,1,2,EME,0 – 100 тыс,Walk In Sales
2568109,15000.00,60000.00,Халва,2018-03-31 00:00:00.000,2019-03-11 00:00:00.000,NULL,48,6,1,2,EME,0 – 100 тыс,Walk In Sales
2584217,20000.00,20000.00,Халва,2018-05-07 00:00:00.000,2019-03-09 00:00:00.000,NULL,46,3,2,2,EME,0 – 100 тыс,Walk In Sales
2726460,20000.00,20000.00,Халва,NULL,NULL,1,65,-1,2,-1,UNK,0 – 100 тыс,Walk In Sales
2760905,75000.00,75000.00,Халва,2018-05-21 00:00:00.000,2019-03-08 00:00:00.000,NULL,33,-1,2,2,OTH,0 – 100 тыс,Walk In Sales
2795569,45000.00,45000.00,Халва + Автокредит,2018-05-12 00:00:00.000,2018-05-12 00:00:00.000,NULL,57,2,2,2,PNW,300 – 700 тыс,AutoCred
2800241,45000.00,45000.00,Халва,2018-06-11 00:00:00.000,2019-02-25 00:00:00.000,NULL,43,6,1,2,EME,0 – 100 тыс,Walk In Sales
2805176,15000.00,15000.00,Халва,2018-05-26 00:00:00.000,2019-03-12 00:00:00.000,NULL,40,3,2,2,EME,0 – 100 тыс,Walk In Sales
2808456,45000.00,45000.00,Халва,2018-04-03 00:00:00.000,2019-03-10 00:00:00.000,NULL,29,3,1,2,EME,0 – 100 тыс,Internet Sales
2942873,20000.00,20000.00,Халва,2018-06-02 00:00:00.000,2019-03-05 00:00:00.000,1,60,6,1,3,PNW,0 – 100 тыс,Walk In Sales
2996674,75000.00,75000.00,Халва,2018-04-06 00:00:00.000,2019-03-11 00:00:00.000,NULL,30,6,2,1,PNW,100 – 300 тыс,DSA
9683,75000.00,75000.00,Халва,2018-05-23 00:00:00.000,2019-03-12 00:00:00.000,NULL,35,-1,2,1,OTH,100 – 300 тыс,DSA
30682,15000.00,15000.00,Халва + Вклад,2018-04-22 00:00:00.000,2019-03-11 00:00:00.000,NULL,41,-1,2,2,UNK,>700 тыс,Walk In Sales
73586,15000.00,15000.00,Халва + ДК,2018-04-01 00:00:00.000,2019-03-10 00:00:00.000,NULL,33,3,1,1,EME,0 – 100 тыс,Walk In Sales
90661,15000.00,15000.00,Халва,2018-04-07 00:00:00.000,2019-03-06 00:00:00.000,NULL,65,3,1,1,PNS,0 – 100 тыс,Walk In Sales
93998,45000.00,45000.00,Халва,2018-04-26 00:00:00.000,2019-03-07 00:00:00.000,NULL,55,3,1,2,EME,>700 тыс,Internet Sales
97354,15000.00,15000.00,Халва,2018-10-30 00:00:00.000,2018-11-10 00:00:00.000,NULL,64,2,1,3,PNS,>700 тыс,Call Center
104855,60000.00,60000.00,Халва,2018-04-07 00:00:00.000,2019-02-23 00:00:00.000,1,56,-1,2,-1,UNK,100 – 300 тыс,Internet Sales
143830,20000.00,20000.00,Халва,NULL,NULL,NULL,56,3,1,2,PNS,0 – 100 тыс,Walk In Sales
151698,20000.00,60000.00,Халва + ДК,NULL,NULL,1,62,3,1,2,PNS,0 – 100 тыс,Walk In Sales
156720,20000.00,20000.00,Халва,2018-04-23 00:00:00.000,2018-04-23 00:00:00.000,NULL,64,3,1,2,PNS,0 – 100 тыс,Call Center
208532,45000.00,45000.00,Халва,2018-05-26 00:00:00.000,2019-03-09 00:00:00.000,NULL,43,-1,1,3,EME,0 – 100 тыс,Internet Sales
222975,15000.00,15000.00,Халва,NULL,NULL,NULL,60,3,1,4,PNW,0 – 100 тыс,Walk In Sales
271229,45000.00,45000.00,Халва,2018-05-19 00:00:00.000,2019-03-06 00:00:00.000,1,52,3,1,4,EME,0 – 100 тыс,Call Center
298166,15000.00,15000.00,Халва,2019-03-04 00:00:00.000,2019-03-04 00:00:00.000,2,57,3,1,4,PNW,0 – 100 тыс,УРМ
329052,15000.00,15000.00,Халва,2018-04-18 00:00:00.000,2019-03-10 00:00:00.000,NULL,64,2,1,4,PNW,300 – 700 тыс,Walk In Sales
367392,15000.00,30000.00,Халва,2018-05-13 00:00:00.000,2018-10-22 00:00:00.000,NULL,37,3,1,2,EME,100 – 300 тыс,Walk In Sales
377618,15000.00,15000.00,Халва + ДК,NULL,NULL,NULL,62,3,1,4,PNS,0 – 100 тыс,Call Center
387732,15000.00,15000.00,Халва,2018-05-17 00:00:00.000,2018-05-17 00:00:00.000,NULL,66,2,1,4,PNS,0 – 100 тыс,Call Center
423151,15000.00,30000.00,Халва + ДК,2018-04-01 00:00:00.000,2019-03-11 00:00:00.000,NULL,69,-1,1,-1,UNK,0 – 100 тыс,Internet Sales
451671,15000.00,30000.00,Халва + ДК,2018-04-27 00:00:00.000,2019-03-09 00:00:00.000,NULL,36,3,1,2,EME,0 – 100 тыс,Internet Sales
456596,20000.00,20000.00,Халва,2018-11-26 00:00:00.000,2018-11-26 00:00:00.000,NULL,57,3,1,3,PNS,0 – 100 тыс,Walk In Sales
466720,30000.00,30000.00,Халва + ДК,2018-07-30 00:00:00.000,2018-07-30 00:00:00.000,1,53,3,1,1,PNS,300 – 700 тыс,Call Center
485176,30000.00,30000.00,Халва,2018-04-08 00:00:00.000,2019-02-20 00:00:00.000,NULL,55,-1,2,-1,UNK,300 – 700 тыс,Internet Sales
532706,30000.00,90000.00,Халва,2018-06-07 00:00:00.000,2019-03-12 00:00:00.000,NULL,35,6,1,3,EME,100 – 300 тыс,Walk In Sales
574107,15000.00,15000.00,Халва,NULL,NULL,NULL,58,3,2,2,PNS,0 – 100 тыс,Walk In Sales
590126,45000.00,45000.00,Халва,2018-05-08 00:00:00.000,2019-03-10 00:00:00.000,NULL,57,3,2,5,EME,>700 тыс,Walk In Sales
